SCHOOL,PROGRAM,DEGREE,ONLINE,ONCAMPUS,COUNTRY,STATE,CITY,DEPARTMENT,URL
Tennessee Technological University,Professional Science Master's Degree in Environmental Informatics,M,T,F,US,TN,Cookeville,College of Interdisciplinary Studies,https://www.tntech.edu/is/ses/psm/psmei
The University of Tennessee,Master of Science in Business Analytics,M,F,T,US,TN,Knoxville,College of Business Administration,http://bus.utk.edu/soms/analytics/
The University of Tennessee,MBA with Business Analytics Concentration,M,T,F,US,TN,Knoxville,College of Business Administration,http://mba.utk.edu/program-basics/business-analytics.asp
The University of Tennessee at Chattanooga,Professional MBA with Business Analytics,M,T,F,US,TN,Chattanooga,College of Business,http://www.utc.edu/college-business/academic-programs/mba/index.php
University of Memphis,Master's Program in Bioinformatics,M,T,F,US,TN,Memphis,College of Arts and Sciences,http://memphis.edu/binf/
Southern Methodist University,Statistics and Data Analytics,M,F,T,US,TX,Dallas,Statistics,http://www.smu.edu/Dedman/Academics/Departments/Statistics/AppliedMSProgram
Southern Methodist University,Online Master of Science in Data Science,M,T,F,US,TX,Dallas,Data Science,http://datascience.smu.edu
St. Mary's University,Data Analytics,B,F,T,US,TX,San Antonio,Business,https://www.stmarytx.edu/academics/business/undergraduate/accounting-data-analytics-major/
Tarleton State University,M.S. in Mathematical Data Mining,M,F,T,US,TX,Stephenville,Department of Mathematics,http://www.tarleton.edu/Costweb/math/degrees/graduate.html#MSDataMining
Texas A & M University-College Station,M.S. in Analytics,M,T,F,US,TX,College Station,Department of Statistics,http://analytics.stat.tamu.edu/
Texas A & M University-College Station,Online M.S. in Applied Statistics,M,F,T,US,TX,College Station,Department of Statistics,http://www.stat.tamu.edu/dist/programs.php
Texas Tech University,Master of Science in Data Science,M,F,T,US,TX,Lubbock,Rawls College of Business,https://www.depts.ttu.edu/rawlsbusiness/graduate/ms/datascience/
The University of Texas at Austin,Master of Data Science Online,M,T,F,US,TX,Austin,"College of Natural Science (Department of Computer Science, Department of Statistics and Data Sciences)",http://ms-datascience.utexas.edu/
The University of Texas at Austin,Master of Science in Business Analytics,M,F,T,US,TX,Austin,Red McCombs School of Business,http://www.mccombs.utexas.edu/business-analytics.aspx
The University of Texas at Dallas,Master of Science in Marketing with Specialization in Marketing Analytics,M,T,F,US,TX,Richardson,Naveen Jindal School of Management,http://jindal.utdallas.edu/academic-areas/marketing/master-of-science-in-marketing/ms-in-marketing-course-descriptions/
The University of Texas at Dallas,Master of Science in Healthcare Management with Specialization in Healthcare informatics,M,T,F,US,TX,Richardson,Naveen Jindal School of Management,http://jindal.utdallas.edu/academic-programs/masters-programs/master-of-science-in-healthcare-management/
The University of Texas at Dallas,Master of Science in Business Analytics,M,F,T,US,TX,Richardson,Jindal School of Management,http://www.utdallas.edu/admissions/graduate/degrees/detail.php?d=1791
The University of Texas at Dallas,Social Data Analytics and Research,M,F,T,US,TX,Richardson,"School of Economic, Political and Policy Sciences",http://epps.utdallas.edu/sdar/
The University of Texas at San Antonio,Master of Science in Applied Statistics,M,T,F,US,TX,San Antonio,College of Business,http://graduateschool.utsa.edu/future-students/academic-programs/applied-statistics-m.s
University of Dallas,MS or MBA - Business Analytics,M,F,T,US,TX,Dallas,Satish and Yasmin Gupta College of Business,http://udallas.edu/cob/academics/ms/business_analytics/index.php
University of North Texas,MS - Business Analytics,M,F,T,US,TX,Denton,College of Business,http://www.cob.unt.edu/programs/masters/tracksheets/MS%20Business%20Analytics.pdf
University of Utah,MS in Computing: Data Management & Analysis,M,T,T,US,UT,Salt Lake City,School of Computing,http://www.cs.utah.edu/graduate/hb2014-15/gradhbk2014-15-ms-guidelines/
University of Utah,Big Data Certificate,C,F,T,US,UT,Salt Lake City,School of Computing,http://www.cs.utah.edu/bigdata/
Western Governors University,Data Analytics,B,T,F,US,UT,Salt Lake City,IT,https://www.wgu.edu/online-it-degrees/data-management-analytics-bachelors-program.html
Westminster College,Minor in Data Science,B,F,T,US,UT,Salt Lake City,Data Science,https://catalog.westminstercollege.edu/undergraduate2016-2017/data-science-data/
George Mason University,Spatial Business Intelligence Graduate Certificate,C,T,F,US,VA,Fairfax,School of Management,http://catalog.gmu.edu/preview_program.php?catoid=5&poid=3296&returnto=85
George Mason University,MS in Computational Science,M,F,T,US,VA,Fairfax,"School of Physics, Astronomy, and Computational Sciences",http://spacs.gmu.edu/ms-in-computational-science/
George Mason University,Computational Data Sciences Minor,B,F,T,US,VA,Fairfax,"School of Physics, Astronomy, and Computational Sciences",http://spacs.gmu.edu/minor-in-computational-and-data-sciences/
George Mason University,Computational Sciences and Informatics,D,F,T,US,VA,Fairfax,"School of Physics, Astronomy, and Computational Sciences",http://spacs.gmu.edu/phd-in-computational-sciences-and-informatics/
George Mason University,MS in Data Analytics Engineering,M,T,F,US,VA,Fairfax,Volgenau School of Engineering,http://volgenau.gmu.edu/dae
George Mason University,Masters in Information Systems,M,F,T,US,VA,Fairfax,Department of Computer Science,https://cs.gmu.edu/programs/masters/infs/
Radford University,MS in Data and Information Management,M,T,F,US,VA,Radford,College of Science and Technology: Department of Information Technology,http://www.radford.edu/content/csat/home/daim/about.html
University of Mary Washington,Data Science Minor,B,F,T,US,VA,Fredericksburg,Department of Computer Science,http://publications.umw.edu/undergraduatecatalog/courses-of-study/minors/data/
University of Virginia,Master of Science in Data Science (MSDS),M,T,F,US,VA,Charlottesville,Data Science Institute,http://dsi.virginia.edu/academics
Virginia Commonwealth University,"Master of Science in Business, concentration in Decision Sciences and Business Analytics",M,F,T,US,VA,Richmond,School of Business,http://www.pubapps.vcu.edu/bulletins/prog_search/?did=20172
Virginia Commonwealth University,Master of Decision Analytics,M,F,T,US,VA,Richmond,School of Business,http://bulletin.vcu.edu/graduate/school-business/supply-chain-management/decision-analytics-mda/
Virginia Polytechnic Institute and State University,Computational Modeling and Data Analytics,B,F,T,US,VA,Blacksburg,College of Science,http://www.ais.science.vt.edu/programs/cmda.html
Shenandoah University,Data Science and Applied Mathematics,B,F,T,US,VA,Winchester,Mathematics,https://www.su.edu/arts/data-science/
Statistics.com,Analytics for Data Science,C,T,F,US,VA,Arlington,,http://www.statistics.com/analytics-for-data-science/
William and Mary,Business Analytics,M,F,T,US,VA,Williamsburg,Mason School of Business,http://mason.wm.edu/programs/msba/
Bellevue College,Healthcare Data Analyst Certificate,C,T,F,US,WA,Bellevue,Bellevue College Continuing Education,http://www.bellevuecollege.edu/ce/healthcare-classes/healthcare-data-analyst-certificate/
City University of Seattle,Master of Science in Computer Systems with Concentration in Big Data Management,M,F,T,US,WA,Seattle,Technology Institute,http://www.cityu.edu/programs/ti/ms_computer_systems.aspx
Seattle University,Master of Science in Business Analytics,M,F,T,US,WA,Seattle,Albers School of Business and Economics,https://www.seattleu.edu/albers/msba/
Seattle University,Graduate Certificate in Business Analytics,C,T,T,US,WA,Seattle,Albers School of Business and Economics,https://www.seattleu.edu/albers/graduate/certificates/business-analytics/
University of Washington-Seattle Campus,M.S. in Data Science,M,F,T,US,WA,Seattle,Interdisciplinary,http://datasciencemasters.uw.edu/
University of Washington-Seattle Campus,Certificate in Data Science,C,F,T,US,WA,Seattle,UW Department of Computer Science & Engineering,http://escience.washington.edu/content/certificate-data-science
University of Washington-Tacoma Campus,Big Data,D,F,T,US,WA,Tacoma,Interdisciplinary,http://escience.washington.edu/education-IGERT
University of Washington-Tacoma Campus,Certificate in Business Analysis,C,T,T,US,WA,Tacoma,Professional and Continuing Education,http://www.pce.uw.edu/certificates/business-analysis.html
University of Washington-Tacoma Campus,Certificate in Business Intelligence,C,F,T,US,WA,Tacoma,UW Department of Computer Science & Engineering,http://www.pce.uw.edu/certificates/business-intelligence-decision-making.html
Washington State University,Online Executive MBA,C,F,T,US,WA,Pullman,WSU Carson College of Business,http://embaonline.wsu.edu/
University of Wisconsin-Madison,Master of Engineering in Applied Computing and Engineering Data Analytics,M,F,T,US,WI,Madison,Department of Engineering Professional Development, https://epd.wisc.edu/online-degree/applied-computing-and-engineering-data-analytics/
University of Wisconsin Colleges,Online Master of Science in Data Science,M,F,T,US,WI,Madison,UW Extension,http://datasciencedegree.wisconsin.edu/
University of Wisconsin Colleges,Graduate Certificate in Business Analytics (UW-Milwaukee),C,T,F,US,WI,Madison,Lubar School of Business,http://ecampus.wisconsin.edu/online-certificate/certificate-in-business-analytics-uw-milwaukee.aspx
University of Wisconsin-Madison,Master of Science in Statistics - Data Science,M,F,T,US,WI,Madison,Department of Statistics,https://advanceyourcareer.wisc.edu/degrees/data-science/
University of Wisconsin-Milwaukee,Online Graduate Certificate in Business Analytics,C,T,F,US,WI,Milwaukee,The Lubar School of Business,http://www4.uwm.edu/business/programs/certificates/business-analytics.cfm
University of Wisconsin-River Falls,Data Science and Predictive Analytics,B,F,T,US,WI,River Falls,Business and Economics,https://www.uwrf.edu/CBE/Programs/DataScience.cfm
West Virginia University,Master of Professional Studies in Statistical and Data Sciences,M,F,T,US,WV,Morgantown,Department of Statistics,http://www.stat.wvu.edu/Programs/mpsstat.html
Ukrainian Catholic Univeristy,Computer Science with specialization in Data Science,M,F,T,UA,,Lviv,Applied Science,http://csds.ucu.edu.ua/
Sabancı University,Data Science,M,F,T,TR,,,Engineering,http://da.sabanciuniv.edu/en
National University of Singapore,Business Analytics,M,F,T,SG,,,,http://msba.nus.edu/home
Dalarna University,Business Intelligence,M,F,T,SE,,,,http://www.du.se/en/bi
Blekinge Institute of Technology,Data Science Engineering,M,F,T,SE,Blekinge,Karlskrona,Computer Science and Engineering,https://www.bth.se/nyheter/bth-startar-sveriges-forsta-civilingenjorsprogram-inom-data-science/
Kth Royal Institute Of Technology,Machine Learning,M,F,T,SE,,,,http://www.kth.se/en/studies/programmes/master/programmes/it/machinelearning
Linköping University,Statistics And Data Mining,M,F,T,SE,,,,http://www.liu.se/utbildning/pabyggnad/F7MSM?l=en
Novosibirsk State University,MS in Big Data Analytics,M,F,T,RU,,Novosibirsk,Mechanic-Mathematic,http://bigdatansu.ru/
Universidade Nova de Lisboa,Information Management,M,F,T,PT,,,Statistics And Information Management,http://www.isegi.unl.pt/MGI/Especializacao/Gestao-Sistemas-Tecnologias-Informacao/Detalhe-do-Curso/plano-de-estudos.asp
Asian Institute of Management,Master of Science in Data Science,M,F,T,PH,,,,https://www.aim.edu/programs/degree-programs/master-science-data-science
University of Auckland,Master of Professional Studies in Data Science,M,F,T,NZ,,Auckland,Faculty of Science,http://www.science.auckland.ac.nz/en/about/subjects-and-specialisations/pg-subjects/data-science.html
Auckland University of Technology,Master of Analytics,M,F,T,NZ,,Auckland,,http://www.aut.ac.nz/study-at-aut/study-areas/computer-mathematical-sciences/postgraduate-degrees/master-of-analytics
University of Canterbury,Master of Applied Data Science,M,F,T,NZ,Chnterbury,Christchurch,School of Mathematics and Statistics,http://www.canterbury.ac.nz/future-students/qualifications-and-courses/masters-degrees/master-of-applied-data-science/
Massey University,Data Science,B,F,T,NZ,,Auckland,,http://www.massey.ac.nz/massey/learning/programme-course-paper/programme.cfm?prog_id=92411&major_code=2913
Massey University,Analytics,M,F,T,NZ,,Auckland,,http://www.massey.ac.nz/massey/learning/programme-course-paper/programme.cfm?prog_id=93537
University of Otago,Business Data Science,M,F,T,NZ,,,Business,http://www.otago.ac.nz/business/study/postgraduate/otago052118.html
Erasmus University,Big Data and Business Analytics,M,F,T,NL,,,,http://www.rsm.nl/master/msc-business-information-management/curriculum/starting-point/electives/big-data-and-business-analytics-block-5/
Maastricht University,Artificial Intelligence,M,F,T,NL,,,,http://www.maastrichtuniversity.nl/web/Schools/DKE/TargetGroup/ProspectiveStudents/MastersProgrammes/ArtificialIntelligence.htm
Maastricht University,Business Intelligence,M,F,T,NL,,,,http://www.maastrichtuniversity.nl/web/show/id=378498/langid=42
Radboud Universiteit Nijmegen,Business Analysis and Modelling,M,F,T,NL,,,,http://www.ru.nl/businessadministration/study_programmes/master%27s_programmes_0/business_analysis/
Eindhoven University of Technology(TU/e),Data Science in Engineering,M,F,T,NL,,Eindhoven,,http://www.tue.nl/en/education/tue-graduate-school/masters-programs/data-science-in-engineering/
Utrecht University,Business Informatics,M,F,T,NL,,,Information and Computing Sciences,http://www.cs.uu.nl/education/
Vrije Universiteit Amsterdam,Business Analytics,M,F,T,NL,,,,http://www.vu.nl/nl/opleidingen/masteropleidingen/opleidingenoverzicht/a-b/business-analytics/index.asp
Autonomous Technological Institute of Mexico,Master of Science Data,M,F,T,MX,,Mexico City,,http://mcienciadatos.itam.mx/
University of Aguascalientes,Data Science and Big Data,M,T,T,MX,,,,http://www.ucuauhtemoc.edu.mx/educacionadistancia/contenido/maestria-ciencia-datos-procesamiento-datos-masivos-big-data.html
Mykolas Romeris University,Business Informatics,M,F,T,LT,,,,https://stdb.mruni.eu/studiju_programos_aprasas.php?id=2481&l=en
Sangmyung University,Big Data Science,B,F,T,KR,,Seoul,,https://bigdata.smu.ac.kr
BAICR,Data Science,M,F,T,IT,,,,http://www.baicr.it/palinsesto-geografico/data-science
Polytechnic University Of Turin,Big Data Engineering,M,F,T,IT,,,,https://didattica.polito.it/portal/pls/portal/sviluppo.master.html?cds=73&sdu=32&a_acc=2013&p=presentazione&l=en
University Of Milan-Bicocca,Business Intelligence & Decision Support Systems,M,F,T,IT,,,,http://www.bimasterbicocca.it/index.php?lang=en
University Of Pisa,Business Informatics,M,F,T,IT,,,,http://www.unipi.it/index.php/ects/ects?ects_id=WBI-LM
Chennai Mathematical Institute,Data Science,M,F,T,IN,,Siruseri,Mathematics,https://www.cmi.ac.in/teaching/courses.php?prog=mscdatascience
Christ University,Data Science,M,F,T,IN,,Bangalore,Computer Science,https://christuniversity.in/sciences/computer-science/msc-in-data-science
Christ University,Data Science,D,F,T,IN,,Bangalore,Computer Science,https://christuniversity.in/sciences/computer-science/phd-data-science
Ben-Gurion University Of The Negev,Data Mining And Business Intelligence,M,F,T,IL,,Beersheba,,http://in.bgu.ac.il/en/engn/ise/Pages/Data_Mining_BI_En.aspx
Dublin City University,Data Analytics,M,F,T,IE,,Dublin,,http://www.dcu.ie/prospective/deginfo.php?classname=MCM
Dublin Institute Of Technology,Data Analytics,M,F,T,IE,,Dublin,,http://www.dit.ie/postgrad/programmes/dt228adt228bmscincomputingdataanalytics/
Institute Of Technology Blanchardstown,Business Intelligence & Data Mining,M,F,T,IE,,Blanchardstown,,http://www.itb.ie/StudyatITB/bn518BID.html
Irish Management Institute,Data Business,M,F,T,IE,,,,http://www.imi.ie/news-and-events/we-mean-business-with-data-business/
National College Of Ireland,Data Analytics,C,F,T,IE,,,,http://www.ncirl.ie/Courses/Course-Details/course/Higher-Diploma-in-Science-in-Web-Technologies-HDSWTECH1
"National University Of Ireland, Galway",Information Systems Management,M,F,T,IE,,,,http://www.nuigalway.ie/courses/taught-postgraduate-courses/information-systems-management.html
University College Cork,Data Science and Analytics,M,F,T,IE,,,,http://www.ucc.ie/en/ckr49/
University College Dublin,Business Analytics,M,F,T,IE,,,Business,http://www.smurfitschool.ie/businessanalytics/
University College Dublin,Business Analytics,B,F,T,IE,,,Business,https://myucd.ucd.ie/course.do?courseID=139
Cork Institute of Technology,Data Science and Analytics,M,F,T,IE,Munster,Cork,Mathematics,http://www.cit.ie/course/CRSDAAN9
Cork Institute of Technology,Data Science and Analytics,D,F,T,IE,Munster,Cork,Mathematics,http://www.cit.ie/course/CRSDAAN8
Chinese University of Hong Kong,Data Science and Business Statistics,M,F,T,HK,,,,http://www.sta.cuhk.edu.hk/mscdbs/DBSdefault.asp
Hong Kong University of Science & Technology,Risk Management and Business Intelligence,B,F,T,HK,,,,http://www.rmbi.ust.hk/
Lancaster University,Data Science,M,F,T,GB,,Lancaster,,http://www.lancaster.ac.uk/dsi/education/data-science-msc/
Aston University,Business Analytics,M,F,T,GB,,,,http://www1.aston.ac.uk/aston-business-school/programmes/postgraduate/msc-programmes/msc-business-analytics-and-information-systems-management/
Birmingham City University,Business Intelligence,M,F,T,GB,,,,http://www.bcu.ac.uk/courses/msc-business-intelligence
Bournemouth University,Applied Data Analytics,M,F,T,GB,,,,http://courses.bournemouth.ac.uk/courses/postgraduate-degree/applied-data-analytics/msc/1975/course_content-course_content/
"Brunel University, London",Business Intelligence and Social Media,M,F,T,GB,,London,,http://www.brunel.ac.uk/courses/postgraduate/N100PBUSINSM
"Brunel University, London",Data Science and Analytics,M,F,T,GB,,London,,http://www.brunel.ac.uk/courses/postgraduate/data-science-and-analytics-msc
City University London,Data Science,M,F,T,GB,,London,,http://www.city.ac.uk/courses/postgraduate/data-science-msc
Coventry University,Data Science and Computational Intelligence,M,F,T,GB,,,,http://www.coventry.ac.uk/course-structure/2013/faculty-of-engineering-and-computing/postgraduate-degree-mba-msc-ma/data-science-and-computational-intelligence-msc/
De Montfort University,Business Intelligence Systems And Data Mining,M,F,T,GB,,,,http://www.dmu.ac.uk/study/courses/postgraduate-courses/business-intelligence-systems-and-data-mining-msc.aspx
"Goldsmiths, University of London",Data Science,M,F,T,GB,,,,http://www.gold.ac.uk/pg/msc-data-science/
Imperial College London,Computing (Machine Learning),M,F,T,GB,,,,http://www3.imperial.ac.uk/computing/teaching/pg/mcsml
Leeds Met,usiness Intelligence,M,F,T,GB,,,,http://courses.leedsmet.ac.uk/businessintelligencesas_msc
Newcastle University,Cloud Computing for Big Data,D,F,T,GB,,,Computing Science / Mathematics and Statistics,http://teaching.ncl.ac.uk/ccfbd-cdt
Robert Gordon University,Information Engineering,M,F,T,GB,,,,http://www.rgu.ac.uk/computing/study-options/postgraduate-taught-full-time/computing-information-engineering
"Royal Holloway, University Of London",Data Science And Analytics,M,F,T,GB,,,,http://www.rhul.ac.uk/computerscience/prospectivestudents/postgraduatetaught/bigdata.aspx
Sheffield Hallam University,Web and Cloud Computing,M,F,T,GB,,,,http://www.shu.ac.uk/prospectus/course/1064/content/
Sheffield Hallam University,Big Data Analytics,M,F,T,GB,,,,http://www.shu.ac.uk/prospectus/course/1250/
The University Of Edinburgh,Informatics,M,F,T,GB,,,,http://www.ed.ac.uk/schools-departments/informatics/postgraduate/msc/msc-informatics
The University Of Manchester,Data And Knowledge Management,M,F,T,GB,,,,http://www.manchester.ac.uk/postgraduate/taughtdegrees/courses/atoz/course/?code=08345&pg=2
University College London,Web Science And Big Data Analytics,M,F,T,GB,,,,http://www.cs.ucl.ac.uk/admissions/msc_web_science/
University College London,Computational Statistics And Machine Learning,M,F,T,GB,,,,http://www.csml.ucl.ac.uk/courses/msc_csml/
University College London,Machine Learning,M,F,T,GB,,,,http://www.csml.ucl.ac.uk/courses/msc_ml/
University Of Bristol,Machine Learning And Data Mining,M,F,T,GB,,,,http://www.bristol.ac.uk/prospectus/postgraduate/2013/prog_details/ENGF/247
University of Derby,Data Science,B,F,T,GB,,,,http://www.derby.ac.uk/courses/data-science-bsc-hons/
University of Derby,Analytics,B,F,T,GB,,,,http://www.derby.ac.uk/courses/analytics-joint-honours/
University of Derby,Information Technology - Analytics,B,F,T,GB,,,,http://www.derby.ac.uk/courses/information-technology-bsc-hons/
University of Derby,Big Data Analytics,M,F,T,GB,,,,http://www.derby.ac.uk/courses/postgraduate/big-data-analytics-msc/
University of Dundee,Data Science,M,F,T,GB,,,Computing,http://www.computing.dundee.ac.uk/newsandevents/newsdetail.asp?978
University Of East Anglia,Knowledge Discovery And Data Mining,M,F,T,GB,,,,http://www.uea.ac.uk/study/postgraduate/taught-degree/detail/msc-knowledge-discovery-and-datamining
University Of East London,Data Mining And Knowledge Management,M,F,T,GB,,,,http://www.uel.ac.uk/postgraduate/specs/datamining/
University Of Essex,Big Data And Text Analytics,M,F,T,GB,,,,http://www.essex.ac.uk/csee/pg_taught/mscbigdata.aspx?goback=.gde_115439_member_193676745
University Of Greenwich,Data Warehousing And Data Mining,M,F,T,GB,,,,http://www.cms.gre.ac.uk/postgraduate/dwadm.asp
University of Kent,Business Analytics,M,F,T,GB,,,,http://www.kent.ac.uk/kbs/pg-taught/programmes/msc-mgmntsci-analytics.html
University Of Leeds,Advanced Computer Science(Data Analytics),M,F,T,GB,,,Computer Science,http://www.engineering.leeds.ac.uk/computing/postgraduate/masters-advanced-computer-science/
University of Leicester,Data Analysis for Business Intelligence,M,F,T,GB,,,,http://www2.le.ac.uk/study/postgrad/taught-campus/mathematics/analysis
University Of Liverpool,Data Mining,M,F,T,GB,,,,http://www.liv.ac.uk/study/postgraduate/taught/faculty-of-science-and-engineering/school-of-electrical-engineering-electronics-and-computer-science/computer-science/mres/advanced-science-computer-sciences-data-mining-pathway/overview/
University of Manchester,Business Analytic,M,F,T,GB,,,,http://www.mbs.ac.uk/masters/courses/analytics-operational-research-risk-analysis/index.aspx
University of Nottingham,Data Science,B,F,T,GB,,,Computer Science,http://www.nottingham.ac.uk/ugstudy/courses/computerscience/bsc-data-science.aspx
University of Southampton,Business Analytics and Management Sciences,M,F,T,GB,,,,http://www.southampton.ac.uk/postgraduate/pgstudy/programmes/management/msc_business_analytics_management_sciences.html
University Of St Andrews,Applied Statistics And Data Mining,M,F,T,GB,,,,http://www.creem.st-and.ac.uk/datamining/
University of Strathclyde,Business Analysis and Consulting,M,T,T,GB,,,,http://www.strath.ac.uk/mansci/prospectivestudents/mscbusinessanalysisandconsulting/
University of Surrey,Business Analytics,M,F,T,GB,,,Business,http://www.surrey.ac.uk/postgraduate/courses/business/businessanalytics/
University of Warwick,Business Analytics & Consulting,M,F,T,GB,,,,http://www.wbs.ac.uk/courses/postgraduate/business-analytics-and-consulting/
University of Warwick,Data Science,B,F,T,GB,,,,http://www2.warwick.ac.uk/fac/sci/statistics/courses/datsci
University Of Warwick,Data Analytics,M,F,T,GB,,,,http://www2.warwick.ac.uk/fac/sci/dcs/admissions/taughtmsc/da-msc/
University Of Westminster,Business Intelligence And Analytics,M,F,T,GB,,,,http://www.westminster.ac.uk/courses/subjects/business-information-systems/postgraduate-courses/part-time-evening-only/p09epbua-msc-business-intelligence-and-analytics
Data ScienceTech Institute,Applied MSc in Data Science,M,F,T,FR,,Paris,,https://www.datasciencetech.institute/msc-applied-data-science-and-big-data/
Data ScienceTech Institute,Applied MSc in Data Engineering,M,F,T,FR,,Paris,,https://www.datasciencetech.institute/msc-applied-big-data-engineering/
Data ScienceTech Institute,Advanced MSc in Artificial Intelligence,M,F,T,FR,,Paris,,https://www.datasciencetech.institute/advanced-msc-artificial-intelligence/
Data ScienceTech Institute,Applied MSc in Data Science,M,F,T,FR,,Nice,,https://www.datasciencetech.institute/msc-applied-data-science-and-big-data/
Data ScienceTech Institute,Applied MSc in Data Engineering,M,F,T,FR,,Nice,,https://www.datasciencetech.institute/msc-applied-big-data-engineering/
Data ScienceTech Institute,Advanced MSc in Artificial Intelligence,M,F,T,FR,,Nice,,https://www.datasciencetech.institute/advanced-msc-artificial-i
EISTI,Business Analytics,M,F,T,FR,,,,http://www.eisti.fr/en/master-business-analytics-architecture-data-exploration-and-optimization-adeo
ENSAE Paris Tech,Data Science Specialisation,B,F,T,FR,,,,http://www.ensae.fr/formations-navhorizontale-172/statisticien-conomiste-navhorizontale-48/3me-anne-voies-de-spcialisation-formationsdiplome-96/data-science-cours-3a.html
Telecom Paris Tech,Big Data,M,F,T,FR,,,,http://www.telecom-paristech.fr/formation-continue/masteres-specialises/big-data.html
Telecom Sudparis,Automatic Data Processing,M,F,T,FR,,,,http://www.telecom-sudparis.eu/msc?idm=25
Université Pierre Et Marie Curie,Artificial Intelligence And Decision Specialization,M,F,T,FR,,,,http://www.upmc.fr/en/education/diplomas/sciences_and_technologies/masters/master_of_computer_science/artificial_intelligence_and_decision_specialization_m2.html
Aalto University,Machine Learning And Data Mining,M,F,T,FI,,,,http://www.aalto.fi/en/studies/education/programme/machine_learning_data_mining_master/
University Of Helsinki,Algorithms And Machine Learning,M,F,T,FI,,,,http://www.cs.helsinki.fi/en/prospective/algorithms-and-machine-learning
Université De Nantes,Data Mining And Knowledge Management,M,F,T,EU,,,,http://www.em-dmkm.eu/
Barcelona School of Management,Management - Business Analytics,M,F,T,ES,,,,http://www.barcelonaschoolofmanagement.upf.edu/master-of-science-in-management-specialization-in-business-analytics
Instituto de Empresa,Business Analytics and Big Data,M,F,T,ES,,,,http://mbd.ie.edu/
Harbor.Space University,Data Science,B,F,T,ES,,Barcelona,,http://harbour.space/courses/data-science#Bachelor
Harbor.Space University,Data Science,M,F,T,ES,,Barcelona,,http://harbour.space/courses/data-science#Master
Barcelona GSE,Data Science Methodology,M,F,T,ES,,Barcelona,Economics,https://www.barcelonagse.eu/study/masters-programs/data-science-methodology
Barcelona GSE,Data Science Decision Making,M,F,T,ES,,Barcelona,Economics,https://www.barcelonagse.eu/study/masters-programs/data-science-decision-making
Universidad Rey Juan Carlos,Data Science,M,F,T,ES,,Madrid,,http://www.masterdatascience.es/
Universitat Pompeu Fabra,Intelligent Interactive Systems,M,F,T,ES,,,,http://www.upf.edu/iis/program.html
Universities Of Alicante,Machine Learning And Data Mining,M,F,T,ES,,,,http://www.iuii.ua.es/MLDM/overview.php
University of Barcelona,Data Science,M,F,T,ES,,Barcelona,,http://www.barcelonagse.eu/data-science-master-degree.html
University of Oviedo,Master in Soft Computing and Intelligent Data Analysis,M,F,T,ES,Asturias,Mieres,European Centre for Soft Computing,http://www.softcomputing.es/metaspace/portal/5/254-about
Universidad de Alcalá,Master en Data Science,M,T,T,ES,ES,Madrid,Informática,https://www.master-data-scientist.com/
Universidad de Alcalá,Master en Business Intelligence y Data Science,M,F,T,ES,ES,Madrid,Informática,https://www.master-bigdata.com/
Universidad Nebrija,Master en Data Science,M,T,F,ES,,,Informática,https://masterdatascience.online/
Aalborg University,Data Engineering,M,F,T,DK,,,,http://www.studyguide.aau.dk/programmes/postgraduate/55777/
Aarhus University,Industrial Phd In Big Data Analysis,D,F,T,DK,,,,http://icoa.au.dk/news/single/artikel/seeking-candidate-for-industrial-phd/
Aarhus University,Business Intelligence,M,F,T,DK,,,,http://kandidat.au.dk/en/economics-and-business-administration-business-intelligence/
Technical University of Denmark,Data Science,M,F,T,DK,,,Department of Applied Mathematics and Computer Science,http://www.compute.dtu.dk/english/education/Data-Science-Big-Data
Otto Von Guericke University Magdeburg,Data And Knowledge Engineering,M,F,T,DE,,,,http://www.uni-magdeburg.de/unimagdeburg/en/Education/Study+Guide/Study+Programmes+with+English+as+Language+of+Instruction/Data+and+Knowledge+Engineering.html
Universität Mannheim,Mannheim Master in Data Science (MMDS),M,F,T,DE,,Mannheim,,http://www.wim.uni-mannheim.de/en/the-school/degree-programs/msc-in-data-science/
TU Dortmund,Data Analysis and Management,B,F,T,DE,,,Statistics,http://www.statistik.tu-dortmund.de/701.html
TU Dortmund,Data Science,M,F,T,DE,,,Statistics,http://www.statistik.tu-dortmund.de/703.html
Universität Konstanz,Information Engineering,M,F,T,DE,,,,http://www.informatik.uni-konstanz.de/en/interestedparties/master/
Hochschule der Medien Stuttgart,Data Science and Business Analytics,M,T,T,DE,,Stuttgart,Weiterbildungszentrum,https://www.hdm-weiterbildung.de/berufsbegleitende-masterangebote/data-science-and-business-analytics
Queen's University,Management Analytics,M,F,T,CA,,,Business,http://business.queensu.ca/grad_studies/mma/
Simon Fraser University,Big Data,M,F,T,CA,,Burnaby,School of Computing Science,http://www.sfu.ca/computing/prospective-students/graduate-students/academic-programs/bigdata.html
University Of Alberta,Statistical Machine Learning,M,F,T,CA,,,,https://www.cs.ualberta.ca/graduate-students/msc-program-requirements/statistical-machine-learning
University of the Fraser Valley,Data Analysis,C,F,T,CA,,,Mathematics and Statistics,http://www.ufv.ca/math/data-analysis/
York University,Business Analytics,M,F,T,CA,,,,http://www.schulich.yorku.ca/client/schulich/Schulich_LP4W_LND_WebStation.nsf/page/MSc+in+Business+Analytics?OpenDocument
Mackenzie Presbyterian Institute,Big Data Analytics,M,F,T,BR,,,,http://www.mackenzie.br/27582.html
