SCHOOL,PROGRAM,DEGREE,ONLINE,ONCAMPUS,COUNTRY,STATE,CITY,DEPARTMENT,URL
Columbia University in the City of New York,PhD in Statistics,D,F,T,US,NY,New York,"Department of Statistics,Graduate School of Arts and Sciences",http://stat.columbia.edu/programs/ph-d-program/
Columbia University in the City of New York,Master of Science in Applied Analytics,M,F,T,US,NY,New York,School of Professional Studies,http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics
Columbia University in the City of New York,Masters in Applied Statistics,M,F,T,US,NY,New York,"Division on Measurement, Evaluation and Statistics, Department of Human Development, Columbia University Teachers College",http://www.tc.columbia.edu/human-development/measurement-evaluation-and-statistics/degrees/
Columbia University in the City of New York,Master of Arts in Quantitative Methods for Social Sciences,M,F,T,US,NY,New York,"Institute for Social and Economic Research and Policy (ISERP), Columbia University",http://www.qmss.columbia.edu/
Columbia University in the City of New York,Master of Science in Data Journalism,M,F,T,US,NY,New York,Columbia Journalism School,https://journalism.columbia.edu/ms-data-journalism
Cornell University,Master of Science in Health Informatics,M,F,T,US,NY,Ithaca,Cornell Medial College,http://hpr.weill.cornell.edu/education_and_training/MS_Health_Informatics_curriculum.html
Cornell University,Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),M,F,T,US,NY,Ithaca,Department of Statistical Science,http://stat.cornell.edu/academics/mps
Cornell University,Data Analytics,M,F,T,US,NY,Ithaca,Engineering,http://www.orie.cornell.edu/orie/academics/master/index.cfm
Cornell University,MBA,M,F,T,US,NY,Ithaca,Johnson School of Management,https://www.johnson.cornell.edu/Programs/Full-Time-MBA/Two-Year-MBA
CUNY Bernard M Baruch College,Advanced Certificate in Business Analytics of Large-Scale Data,C,F,T,US,NY,New York,School of Business,http://www.csi.cuny.edu/catalog/graduate/advanced-certificate-in-business-analytics-of-large-scale-data.htm
CUNY Graduate School and University Center,Online Master of Science in Data Analytics,M,F,T,US,NY,New York,CUNY School of Professional Studies,https://sps.cuny.edu/academics/graduate/master-science-data-analytics-ms
CUNY Queens College,MA in Data Analytics & Applied Social Research,M,T,F,US,NY,Flushing,Sociology Department,http://qcbigdata.com/program/
DeVry University,Big Data and Analytics,B,T,T,US,NY,New York City,,https://www.devry.edu/degree-programs/engineering-information-sciences/big-data-and-analytics-degree-specialization.html
Fordham University,Master of Science in Business Analytics,M,F,T,US,NY,Bronx,Graduate School of Business,http://www.bnet.fordham.edu/academic_bulletin/2015/ms/MS_Business_Analytics/index.asp
Keller Graduate School of Management,MBA with a Business Intelligence and Analytics Management Concentration,M,F,T,US,NY,New York,Keller Graduate School of Management,http://keller.edu/graduate-degree-programs/mba-program/business-intelligence-mba.html
Marist College,Advanced Certificate in Business Analytics,C,T,F,US,NY,Poughkeepsie,School of Computer Science and Mathematics,http://www.marist.edu/admission/graduate/business-analytics/
New York University,PhD in Data Science,D,T,F,US,NY,New York,NYU Center for Data Science,http://cds.nyu.edu/phd-program/
New York University,Master of Science in Data Science,M,T,F,US,NY,New York,NYU Center for Data Science,http://cds.nyu.edu/academics/ms-in-data-science/
New York University,Advanced Certificate in Applied Urban Science and Informatics,C,F,T,US,NY,New York,Center for Urban Science & Progress,http://cusp.nyu.edu/advanced-certificate-in-applied-urban-science-and-informatics/
New York University,MS in Applied Urban Science and Informatics,M,T,T,US,NY,New York,Center for Urban Science & Progress,http://cusp.nyu.edu/ms-in-applied-urban-science-and-informatics/
New York University,Master of Science in Applied Statistics for Social Science Research,M,T,F,US,NY,New York,"Steinhardt School of Culture, Education, and Human Development: D",http://steinhardt.nyu.edu/graduate_admissions/guide/assr/ms
New York University,Certificate in Healthcare Informatics,C,T,F,US,NY,New York,School of Professional Studies: Management and Information Technology,http://www.scps.nyu.edu/academics/departments/information-technology/academic-offerings/noncredit/certificate-in-healthcare-informatics.html
New York University,"MBA, Specialization in Business Analytics",M,T,F,US,NY,New York,Stern School of Business,http://www.stern.nyu.edu/programs-admissions/full-time-mba/academics/specializations/business-analytics/index.htm
New York University,Master of Science in Business Analytics,M,T,F,US,NY,New York,Stern School of Business,http://www.stern.nyu.edu/programs-admissions/global-degrees/business-analytics/academics/course-index/
New York University,Master of Science in Information Systems,M,F,T,US,NY,New York,Computer Science Department,https://cs.nyu.edu/webapps/content/academic/graduate/msis
New York University,Applied Data Analytics and Visualization,B,F,T,US,NY,New York,School of Professional Studies,http://www.sps.nyu.edu/academics/departments/mcghee/undergraduate/bs-applied-data-analytics-and-visualization.html
Pace University-New York,MS in Customer Intelligence and Analytics,M,T,F,US,NY,New York,Lubin School of Business,http://www.pace.edu/lubin/ms-in-customer-intelligence-analytics
Pace University-New York,Master of Science in Information Systems,M,T,F,US,NY,New York,Seidenberg School of Computer Science and Information Systems,http://www.pace.edu/seidenberg/ms-in-information-systems
Rensselaer Polytechnic Institute,MS in Business Analytics,M,F,T,US,NY,Troy,Lally School of Management,http://lallyschool.rpi.edu/academics/ms_ba.html
Rensselaer Polytechnic Institute,M.S. in Information Technology - Concentration in Data Science and Analytics,M,F,T,US,NY,Troy,Department of Information Technology & Web Science,https://www.rpi.edu/dept/IT/graduate/Masters.html
St. John's University-New York,Master of Science in Data Mining and Predictive Analytics,M,F,T,US,NY,Queens,"Department of Computer Science, Mathematics, and Science",http://www.stjohns.edu/academics/schools-and-colleges/college-professional-studies/programs-and-majors/data-mining-and-predictive-analytics-master-science
Syracuse University,Data Science,M,T,F,US,NY,Syracuse,,https://datascience.syr.edu/
Syracuse University,Certificate of Advanced Study in Data Science,C,T,F,US,NY,Syracuse,School of Information Studies,http://ischool.syr.edu/future/cas/datascience.aspx
The New School,Data Visualization (MS),M,T,F,US,NY,New York,"School of Art, Media & Technology",http://www.newschool.edu/parsons/ms-data-visualization/
Trocaire College,Certificate in Healthcare Informatics,C,T,F,US,NY,Buffalo,Healthcare Informatics,https://www.trocaire.edu/academics/healthcare-informatics/healthcare-informatics-certificate
Union Graduate College,Master of Science in Healthcare Data Analytics,M,T,F,US,NY,Schenectady,School of Management,http://www.uniongraduatecollege.edu/management/MS-Healthcare.aspx
Fei Tian College,Bachelor of Science (BS) in Data Science,B,F,T,US,NY,Middletown,Data Science,https://www.mt.feitian.edu/data-science
University at Buffalo,Master of Science (MS) in Management Science: Business Analytics and Systems from the State University of New York at Buffalo and a Master of Business,M,T,F,US,NY,Buffalo,University at Buffalo School of Management and Amrita University,http://mgt.buffalo.edu/faculty/academic/systems/business-analytics-amrita
University of Rochester,Professional MS in Computer Science (Concentration in Data Analytics),M,F,T,US,NY,Rochester,Department of Computer Science,http://www.cs.rochester.edu/graduate/masters-program.html
University of Rochester,Data Science,B,F,T,US,NY,Rochester,Interdisciplinary,http://www.rochester.edu/data-science/academics/index.html
University of Rochester,Master of Science in Data Science,M,F,T,US,NY,Rochester,Institute for Data Science,http://www.rochester.edu/data-science/degrees/MSdetails.html
University of Rochester,MS in Business Administration (Concentration in Business Analytics),M,F,T,US,NY,Rochester,Simon School of Business,http://www.simon.rochester.edu/programs/full-time-ms/academics/programs/business-analytics/index.aspx
University of Rochester,MA and MS in Medical Statistics,M,F,T,US,NY,Rochester,Department of Biostatistics and Computational Biology,http://www.urmc.rochester.edu/education/graduate/phd/statistics/
Bowling Green State University,Master of Science in Applied Statistics (specialization in Business Analytics),M,F,T,US,OH,Bowling Green,Department of Applied Statistics & Operations Research/Department of Mathem,http://www.bgsu.edu/business/asor/graduateprograms.html
Bowling Green State University,M.S. in Analytics,M,F,T,US,OH,Bowling Green,Graduate College,http://www.bgsu.edu/graduate/analytics.html
Case Western Reserve University,Systems Biology and Informatics,D,F,T,US,OH,Cleveland,Molecular and Computational Biology,http://bioinformatics.case.edu/
Case Western Reserve University,Health Informatics,M,F,T,US,OH,Cleveland,Case School of Engineering,http://engineering.case.edu/eecs/node/466
Case Western Reserve University,Data Science,B,F,T,US,OH,Cleveland,Data Science,http://datascience.case.edu/
Cleveland State University,Graduate Certificate in Strategic Business Analytics,C,T,F,US,OH,Cleveland,Monte Ahuja College of Business,http://www.csuohio.edu/business/academics/business-analytics-graduate-certificate-programs
Cleveland State University,Graduate Certificate in Advanced Business Analytics,C,T,F,US,OH,Cleveland,Monte Ahuja College of Business,http://www.csuohio.edu/business/academics/business-analytics-graduate-certificate-programs
Denison University,Major in Data Analytics,B,F,T,US,OH,Granville,Data Analytics,http://denison.edu/academics/data-analytics
Miami University of Ohio,Business Analytics Minor,B,F,T,US,OH,Oxford,Business,http://miamioh.edu/academics/majors-minors/minors/business-analytics.html
Miami University of Ohio,I.S. and Analytics,B,F,T,US,OH,Oxford,Business,http://miamioh.edu/fsb/academics/isa/academics/majors/co-major/index.html
Notre Dame College,Certificate in Competitive Business Intelligence,C,F,T,US,OH,Cleveland,Notre Dame College Online,http://online.notredamecollege.edu/programs/certificate-in-competitive-business-intelligence/
